TIME,EVENT,DETAIL
2026.09.18 02:56:12,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4347.64
2026.09.18 03:02:00,SIGNAL,BEAR R=3.53 ext=4339.55
2026.09.18 03:10:37,EXT_HIT,2026.09.18 02:54:00 extreme=4348.07
2026.09.18 03:10:39,PB_CONFIRM,2026.09.18 02:54:00 R=0.74
2026.09.18 03:10:39,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 03:12:00,SIGNAL,BULL R=4.02 ext=4354.90
2026.09.18 03:13:29,EXT_HIT,2026.09.18 03:10:00 extreme=4355.01
2026.09.18 03:13:35,PB_CONFIRM,2026.09.18 03:10:00 R=4.02
2026.09.18 03:13:35,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 03:21:14,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4353.59
2026.09.18 03:24:00,SIGNAL,BULL R=4.90 ext=4361.65
2026.09.18 04:01:06,EXT_HIT,2026.09.18 03:22:00 extreme=4361.79
2026.09.18 04:01:07,PB_CONFIRM,2026.09.18 03:22:00 R=4.90
2026.09.18 04:01:07,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 04:02:00,SIGNAL,BULL R=5.58 ext=4367.19
2026.09.18 04:13:27,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4360.20
2026.09.18 04:34:00,SIGNAL,BEAR R=4.58 ext=4348.22
2026.09.18 04:44:30,EXT_HIT,2026.09.18 04:32:00 extreme=4348.21
2026.09.18 04:44:50,PB_CONFIRM,2026.09.18 04:32:00 R=4.58
2026.09.18 04:44:50,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 04:52:00,SIGNAL,BEAR R=2.62 ext=4343.06
2026.09.18 05:08:09,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4349.51
2026.09.18 05:56:00,SIGNAL,BEAR R=5.60 ext=4341.40
2026.09.18 06:16:31,EXT_HIT,2026.09.18 04:50:00 extreme=4343.00
2026.09.18 06:16:46,PB_CONFIRM,2026.09.18 04:50:00 R=2.62
2026.09.18 06:16:46,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 06:16:52,EXT_HIT,2026.09.18 05:54:00 extreme=4340.78
2026.09.18 06:16:56,PB_CONFIRM,2026.09.18 05:54:00 R=5.60
2026.09.18 06:16:56,ENTRY_SKIPPED,LIVE005 own-Magic position already exists
2026.09.18 06:17:21,EXT_HIT,2026.09.18 03:00:00 extreme=4339.28
2026.09.18 06:17:22,PB_CONFIRM,2026.09.18 03:00:00 R=3.53
2026.09.18 06:17:22,ENTRY_SKIPPED,LIVE005 own-Magic position already exists
2026.09.18 06:18:00,SIGNAL,BEAR R=5.28 ext=4333.70
2026.09.18 06:44:00,SIGNAL,BULL R=2.88 ext=4360.46
2026.09.18 06:45:29,EXT_HIT,2026.09.18 06:42:00 extreme=4360.49
2026.09.18 06:45:29,PB_CONFIRM,2026.09.18 06:42:00 R=2.88
2026.09.18 06:45:30,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 06:46:51,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4359.29
2026.09.18 07:44:00,SIGNAL,BULL R=3.52 ext=4366.53
2026.09.18 07:45:39,EXT_HIT,2026.09.18 07:42:00 extreme=4366.56
2026.09.18 07:45:42,PB_CONFIRM,2026.09.18 07:42:00 R=3.52
2026.09.18 07:45:42,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 07:47:18,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4364.97
2026.09.18 07:59:58,EXT_HIT,2026.09.18 04:00:00 extreme=4367.21
2026.09.18 08:00:00,PB_CONFIRM,2026.09.18 04:00:00 R=5.58
2026.09.18 08:00:00,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 08:02:50,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4365.42
2026.09.18 08:32:00,SIGNAL,BEAR R=2.82 ext=4360.04
2026.09.18 08:38:00,SIGNAL,BULL R=2.43 ext=4368.36
2026.09.18 08:38:21,EXT_HIT,2026.09.18 08:36:00 extreme=4368.41
2026.09.18 08:38:22,PB_CONFIRM,2026.09.18 08:36:00 R=2.43
2026.09.18 08:38:22,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 08:40:00,SIGNAL,BULL R=6.32 ext=4378.21
2026.09.18 08:44:47,EXT_HIT,2026.09.18 08:38:00 extreme=4378.32
2026.09.18 08:44:50,PB_CONFIRM,2026.09.18 08:38:00 R=6.32
2026.09.18 08:44:50,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 08:46:49,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4376.01
2026.09.18 09:54:00,EXT_HIT,2026.09.17 17:06:00 extreme=4391.20
2026.09.18 09:54:02,PB_CONFIRM,2026.09.17 17:06:00 R=5.61
2026.09.18 09:54:02,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 10:16:00,SIGNAL,BEAR R=1.24 ext=4388.88
2026.09.18 10:46:00,SIGNAL,BULL R=1.88 ext=4396.96
2026.09.18 10:49:17,EXT_HIT,2026.09.18 10:44:00 extreme=4396.96
2026.09.18 10:49:17,PB_CONFIRM,2026.09.18 10:44:00 R=1.88
2026.09.18 10:49:17,ENTRY_SKIPPED,LIVE005 own-Magic position already exists
2026.09.18 11:26:00,SIGNAL,BEAR R=4.11 ext=4385.37
2026.09.18 11:29:01,EXT_HIT,2026.09.18 10:14:00 extreme=4388.87
2026.09.18 11:29:04,PB_CONFIRM,2026.09.18 10:14:00 R=1.24
2026.09.18 11:29:04,ENTRY_SKIPPED,LIVE005 own-Magic position already exists
2026.09.18 11:29:44,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4389.10
2026.09.18 11:43:20,EXT_HIT,2026.09.18 11:24:00 extreme=4385.34
2026.09.18 11:43:25,PB_CONFIRM,2026.09.18 11:24:00 R=4.11
2026.09.18 11:43:25,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 11:45:05,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4386.70
2026.09.18 12:34:00,SIGNAL,BEAR R=2.30 ext=4384.07
2026.09.18 12:38:34,EXT_HIT,2026.09.18 12:32:00 extreme=4384.03
2026.09.18 12:38:46,PB_CONFIRM,2026.09.18 12:32:00 R=2.30
2026.09.18 12:38:46,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 12:40:00,SIGNAL,BEAR R=4.25 ext=4377.28
2026.09.18 12:44:37,EXT_HIT,2026.09.18 12:38:00 extreme=4377.28
2026.09.18 12:44:37,PB_CONFIRM,2026.09.18 12:38:00 R=4.25
2026.09.18 12:44:37,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 13:09:11,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4378.89
2026.09.18 13:48:00,SIGNAL,BEAR R=2.20 ext=4376.23
2026.09.18 14:43:32,EXT_HIT,2026.09.18 13:46:00 extreme=4376.18
2026.09.18 14:43:33,PB_CONFIRM,2026.09.18 13:46:00 R=2.20
2026.09.18 14:43:33,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 14:44:00,SIGNAL,BEAR R=4.24 ext=4370.79
2026.09.18 14:58:57,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4377.02
2026.09.18 15:12:32,EXT_HIT,2026.09.18 14:42:00 extreme=4370.77
2026.09.18 15:12:39,PB_CONFIRM,2026.09.18 14:42:00 R=4.24
2026.09.18 15:12:39,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 15:12:55,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4372.19
2026.09.18 15:22:00,SIGNAL,BEAR R=5.40 ext=4360.91
